id,depth,family,type,equation,source_pair,introduced_species,charge_balance,element_balance,status
e_Ar_elastic,0,electron,elastic,e + Ar -> e + Ar,e + Ar,,ok,ok,curated
e_Ar_excitation_4s_lumped,0,electron,excitation,e + Ar -> e + Ar,e + Ar,,ok,ok,curated
e_Ar_ionization,0,electron,ionization,e + Ar -> 2 e + Ar+,e + Ar,Ar+,ok,ok,curated
e_CF4_elastic,0,electron,elastic,e + CF4 -> e + CF4,e + CF4,,ok,ok,curated
e_CF4_ionization_parent_effective,0,electron,ionization,e + CF4 -> 2 e + CF4+,e + CF4,CF4+,ok,ok,estimated
e_CF4_dissociation_CF3_F,0,electron,dissociation,e + CF4 -> e + CF3 + F,e + CF4,CF3;F,ok,ok,curated
e_CF4_dissociation_CF2_2F,0,electron,dissociation,e + CF4 -> e + CF2 + 2 F,e + CF4,CF2,ok,ok,curated
e_CF4_attachment_Fm,0,electron,attachment,e + CF4 -> CF3 + F-,e + CF4,F-,ok,ok,curated
e_CF4_attachment_CF3m,0,electron,attachment,e + CF4 -> CF3- + F,e + CF4,CF3-,ok,ok,curated
e_CF4_dissociative_ionization_CF3p,0,electron,dissociative_ionization,e + CF4 -> 2 e + CF3+ + F,e + CF4,CF3+,ok,ok,curated
e_CF4_dissociative_ionization_CF2p,0,electron,dissociative_ionization,e + CF4 -> 2 e + CF2+ + 2 F,e + CF4,CF2+,ok,ok,curated
e_CF2_ionization_CF2p,1,electron,ionization,e + CF2 -> 2 e + CF2+,e + CF2,,ok,ok,curated
e_CF3_ionization_CF3p,1,electron,ionization,e + CF3 -> 2 e + CF3+,e + CF3,,ok,ok,curated
e_CF3_dissociation_CF2_F,1,electron,dissociation,e + CF3 -> e + CF2 + F,e + CF3,,ok,ok,estimated
e_F_elastic,1,electron,elastic,e + F -> e + F,e + F,,ok,ok,curated
e_F_ionization,1,electron,ionization,e + F -> 2 e + F+,e + F,F+,ok,ok,curated
Arp_Ar_elastic,1,ion_neutral,elastic,Ar+ + Ar -> Ar+ + Ar,Ar+ + Ar,,ok,ok,curated
Arp_Ar_resonant_charge_exchange,1,ion_neutral,charge_transfer,Ar+ + Ar -> Ar + Ar+,Ar+ + Ar,,ok,ok,curated
Arp_CF2_elastic,1,ion_neutral,elastic,Ar+ + CF2 -> Ar+ + CF2,Ar+ + CF2,,ok,ok,estimated
Arp_CF2_charge_transfer_CF2p,1,ion_neutral,charge_transfer,Ar+ + CF2 -> Ar + CF2+,Ar+ + CF2,,ok,ok,estimated
Arp_CF3_elastic,1,ion_neutral,elastic,Ar+ + CF3 -> Ar+ + CF3,Ar+ + CF3,,ok,ok,estimated
Arp_CF3_charge_transfer_CF3p,1,ion_neutral,charge_transfer,Ar+ + CF3 -> Ar + CF3+,Ar+ + CF3,,ok,ok,estimated
Arp_CF3_dissociative_charge_transfer_CF2p,1,ion_neutral,dissociative_charge_transfer,Ar+ + CF3 -> Ar + CF2+ + F,Ar+ + CF3,,ok,ok,estimated
Arp_CF4_elastic,1,ion_neutral,elastic,Ar+ + CF4 -> Ar+ + CF4,Ar+ + CF4,,ok,ok,curated
Arp_CF4_dissociative_charge_transfer_CF3p,1,ion_neutral,dissociative_charge_transfer,Ar+ + CF4 -> Ar + CF3+ + F,Ar+ + CF4,,ok,ok,curated
Arp_CF4_smoke_dissociative_charge_transfer_CF3p,1,ion_neutral,dissociative_charge_transfer,Ar+ + CF4 -> Ar + CF3+ + F,Ar+ + CF4,,ok,ok,imported
Arp_F_elastic,1,ion_neutral,elastic,Ar+ + F -> Ar+ + F,Ar+ + F,,ok,ok,estimated
Arp_F_charge_transfer_Fp,1,ion_neutral,charge_transfer,Ar+ + F -> Ar + F+,Ar+ + F,,ok,ok,estimated
CF3p_CF2_elastic,1,ion_neutral,elastic,CF3+ + CF2 -> CF3+ + CF2,CF3+ + CF2,,ok,ok,estimated
CF3p_CF2_charge_transfer_CF2p,1,ion_neutral,charge_transfer,CF3+ + CF2 -> CF3 + CF2+,CF3+ + CF2,,ok,ok,estimated
CF3p_Ar_elastic,1,ion_neutral,elastic,CF3+ + Ar -> CF3+ + Ar,CF3+ + Ar,,ok,ok,estimated
CF3p_Ar_charge_transfer_Arp,1,ion_neutral,charge_transfer,CF3+ + Ar -> CF3 + Ar+,CF3+ + Ar,,ok,ok,estimated
CF3p_CF4_elastic,1,ion_neutral,elastic,CF3+ + CF4 -> CF3+ + CF4,CF3+ + CF4,,ok,ok,curated
CF3p_CF4_collision_induced_dissociation_CF3_F,1,ion_neutral,reactive_scattering,CF3+ + CF4 -> CF3+ + CF3 + F,CF3+ + CF4,,ok,ok,curated
CF4p_Ar_elastic,1,ion_neutral,elastic,CF4+ + Ar -> CF4+ + Ar,CF4+ + Ar,,ok,ok,estimated
CF4p_Ar_charge_transfer_Arp,1,ion_neutral,charge_transfer,CF4+ + Ar -> CF4 + Ar+,CF4+ + Ar,,ok,ok,estimated
CF4p_CF4_elastic,1,ion_neutral,elastic,CF4+ + CF4 -> CF4+ + CF4,CF4+ + CF4,,ok,ok,estimated
CF4p_CF4_resonant_charge_exchange,1,ion_neutral,charge_transfer,CF4+ + CF4 -> CF4 + CF4+,CF4+ + CF4,,ok,ok,estimated
Fm_CF4_elastic,1,ion_neutral,elastic,F- + CF4 -> F- + CF4,F- + CF4,,ok,ok,estimated
Fm_CF4_collisional_detachment,1,ion_neutral,electron_detachment,F- + CF4 -> F + CF4 + e,F- + CF4,,ok,ok,curated
Fp_CF4_elastic,2,ion_neutral,elastic,F+ + CF4 -> F+ + CF4,F+ + CF4,,ok,ok,estimated
Fp_CF4_charge_transfer_CF4p,2,ion_neutral,charge_transfer,F+ + CF4 -> F + CF4+,F+ + CF4,,ok,ok,estimated
Fp_CF4_dissociative_charge_transfer_CF3p,2,ion_neutral,dissociative_charge_transfer,F+ + CF4 -> F + CF3+ + F,F+ + CF4,,ok,ok,estimated
