candidate,reaction_type,delta_h_eV,delta_g_eV,threshold_eV,verdict,reason,id
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dff2bd46b5c5
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5ccce802fea8
e + O -> O+ + 2 e,Electron-impact ionization,13.617578000000002,,13.618055,pass,reaction energy or threshold is available,rxn_02b625c9d811
e + O2(v) -> O2+ + 2 e,Electron-impact ionization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_2400ffdfb3a5
e + O2* -> O2+ + 2 e,Electron-impact ionization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_1367abd723f8
e + Ar+ -> Ar,Electron-ion recombination,-15.75961,,,pass,reaction energy or threshold is available,rxn_b9b97c9cedf9
e + O+ -> O,Electron-ion recombination,-13.617578000000002,,,pass,reaction energy or threshold is available,rxn_a065d9985ac4
e + O2+ -> O2,Electron-ion recombination,-12.0697,,,pass,reaction energy or threshold is available,rxn_fe3ef2a625bf
Ar+ + O -> O+ + Ar,Charge exchange,-2.142031999999999,,,pass,reaction energy or threshold is available,rxn_baee40490ad8
Ar+ + O2 -> O2+ + Ar,Charge exchange,-3.689910000000001,,,pass,reaction energy or threshold is available,rxn_2d29145e0f98
Ar- + O -> O- + Ar,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_1025dffb221c
Ar- + O2 -> O2- + Ar,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_19e271a11252
O+ + Ar -> Ar+ + O,Charge exchange,2.1420320000000004,,,pass,reaction energy or threshold is available,rxn_81849ac06cf9
O+ + O2 -> O2+ + O,Charge exchange,-1.5478780000000025,,,pass,reaction energy or threshold is available,rxn_2bf32666fe5b
O- + Ar -> Ar- + O,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_5d5111d16a78
O- + O2 -> O2- + O,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_b4bebcad19c6
O2+ + Ar -> Ar+ + O2,Charge exchange,3.689910000000001,,,pass,reaction energy or threshold is available,rxn_88b106712082
O2+ + O -> O+ + O2,Charge exchange,1.547878000000002,,,pass,reaction energy or threshold is available,rxn_37bbce670254
O2- + Ar -> Ar- + O2,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_3f735a110e81
O2- + O -> O- + O2,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_9806fd0ca7ab
Ar- + Ar -> 2 Ar + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_754c5eca1437
Ar- + O -> Ar + O + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_75a6567cee43
Ar- + O2 -> Ar + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9934f424f8c0
O- + Ar -> Ar + O + e,Collisional electron detachment,1.4605769999999998,,,pass,reaction energy or threshold is available,rxn_4db0a6c546c7
O- + O -> 2 O + e,Collisional electron detachment,1.4605770000000002,,,pass,reaction energy or threshold is available,rxn_a8c8162d07bf
O- + O2 -> O + O2 + e,Collisional electron detachment,1.4605769999999998,,,pass,reaction energy or threshold is available,rxn_2c4a5b821b8e
O2- + Ar -> Ar + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_cbe14dbb7875
O2- + O -> O + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_2927232caf86
O2- + O2 -> 2 O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_69470fb52c9e
Ar+ + O -> Ar+ + O,Ion-neutral elastic scattering,1.3322676295501878e-15,-1.5919757232413564e-15,,pass,reaction energy or threshold is available,rxn_b23dfcecb0fc
Ar+ + O2 -> Ar+ + O2,Ion-neutral elastic scattering,0.0,-7.806804027433574e-16,,pass,reaction energy or threshold is available,rxn_116c2a39f075
Ar- + O -> Ar- + O,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_981ebdf563ba
Ar- + O2 -> Ar- + O2,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_37b2f906b55b
O+ + Ar -> O+ + Ar,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_c8bbb52f16db
O+ + O2 -> O+ + O2,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_217ec02f8a25
O- + Ar -> O- + Ar,Ion-neutral elastic scattering,0.0,0.0,,pass,reaction energy or threshold is available,rxn_1cb8cdec1cfe
O- + O2 -> O- + O2,Ion-neutral elastic scattering,0.0,-4.5922376631962204e-17,,pass,reaction energy or threshold is available,rxn_4e056b8323ea
O2+ + Ar -> O2+ + Ar,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_644e62d637ce
O2+ + O -> O2+ + O,Ion-neutral elastic scattering,-4.440892098500626e-16,,,pass,reaction energy or threshold is available,rxn_33a5160d5967
O2- + Ar -> O2- + Ar,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_b9dcc46f86f8
O2- + O -> O2- + O,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_470cf8775707
Ar+ + Ar(m) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_32e0ff81482e
Ar+ + Ar(r) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8bb2a60a7fbc
Ar- + Ar(m) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_ffe8fc60e569
Ar- + Ar(r) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_634f6e55908a
O2+ + O2(v) -> O2+ + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_a339d2371429
O2+ + O2* -> O2+ + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dbb28e568d13
O2- + O2(v) -> O2- + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_43949eda804d
O2- + O2* -> O2- + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_ac67529bdd89
Ar+ + Ar -> Ar+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_c93e3d600f78
Ar+ + Ar -> Ar+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f07d0ba16e30
Ar+ + O2 -> Ar+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_192278ce671f
Ar+ + O2 -> Ar+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_0c51497b3a6c
Ar- + Ar -> Ar- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fab0902a6843
Ar- + Ar -> Ar- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_26b94c20754e
Ar- + O2 -> Ar- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_763194797e8c
Ar- + O2 -> Ar- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_de2e4db00652
O+ + Ar -> O+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_3afea6ddf67b
O+ + Ar -> O+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dae5325eb31b
O+ + O2 -> O+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_32887c53cfc0
O+ + O2 -> O+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_325d242a60fa
O- + Ar -> O- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5c1d1862d883
O- + Ar -> O- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dc4f1eaed1a8
O- + O2 -> O- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9938203e8724
O- + O2 -> O- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_1aaa5217616d
O2+ + Ar -> O2+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_6ece5fa184d7
O2+ + Ar -> O2+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_18e7a7fd5b5b
O2+ + O2 -> O2+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_a94bfb506276
O2+ + O2 -> O2+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f75feb2eb0bc
O2- + Ar -> O2- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8e59537d4986
O2- + Ar -> O2- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_7cb2c47d47e0
O2- + O2 -> O2- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_44de2b53da2e
O2- + O2 -> O2- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_07117cb5ce40
Ar+ + Ar- -> 2 Ar,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_7f218ecf9f30
Ar+ + O- -> Ar + O,Ion-ion mutual neutralization,-14.299033000000001,-14.26012763569663,,pass,reaction energy or threshold is available,rxn_7f1253ebcfb9
Ar+ + O2- -> Ar + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5a307f1b77b9
O+ + Ar- -> Ar + O,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_70a5390f4242
O+ + O- -> 2 O,Ion-ion mutual neutralization,-12.157001000000003,,,pass,reaction energy or threshold is available,rxn_10beb5bc00af
O+ + O2- -> O + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f362c4374a2b
O2+ + Ar- -> Ar + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_1cc12a118d26
O2+ + O- -> O + O2,Ion-ion mutual neutralization,-10.609123,,,pass,reaction energy or threshold is available,rxn_08e2f48ee28d
O2+ + O2- -> 2 O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_15fac312b7fa
O2+ + Ar -> O+ + Ar + O,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_4487814bfc3e
O2+ + O -> O+ + 2 O,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_ad2d57546439
O2+ + O2 -> O+ + O + O2,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_f01e2fa9b40b
O2- + Ar -> O- + Ar + O,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f7f35bdddeea
O2- + O -> O- + 2 O,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_688c1b736a68
O2- + O2 -> O- + O + O2,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fe0ea6173b83
Ar+ + Ar -> Ar+ + Ar,Resonant charge exchange,0.0,8.648714265686214e-16,,pass,reaction energy or threshold is available,rxn_42da360d77cf
Ar- + Ar -> Ar- + Ar,Resonant charge exchange,,,,pass,reaction energy or threshold is available,rxn_2d9ccfcce5d9
O+ + O -> O+ + O,Resonant charge exchange,-4.440892098500626e-16,,,pass,reaction energy or threshold is available,rxn_7281eb34b270
O- + O -> O- + O,Resonant charge exchange,0.0,6.122983550928293e-16,,pass,reaction energy or threshold is available,rxn_650299e93852
O2+ + O2 -> O2+ + O2,Resonant charge exchange,0.0,,,pass,reaction energy or threshold is available,rxn_223a68face62
O2- + O2 -> O2- + O2,Resonant charge exchange,,,,pass,reaction energy or threshold is available,rxn_641dfc3def66
Ar(m) + Ar -> Ar+ + Ar + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_89b3c1f5c922
Ar(m) + O -> O+ + Ar + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_664ed39e8711
Ar(m) + O2 -> O2+ + Ar + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_5e4e401081e7
O2* + Ar -> Ar+ + O2 + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_6fbef0792ecd
O2* + O -> O+ + O2 + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_97e7f57e6baa
O2* + O2 -> O2+ + O2 + e,Penning ionization,,,,fail,metastable energy is below the target ionization energy,rxn_1afa97c5ae80
Ar(m) + Ar -> 2 Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_03cc6169a934
Ar(m) + Ar(r) -> Ar(m) + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9c71d4efc801
Ar(m) + Ar(r) -> Ar(r) + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_a9821670c330
Ar(m) + O -> Ar + O,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_cd3f064c57e9
Ar(m) + O2 -> Ar + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_d033903105a0
Ar(m) + O2(v) -> O2(v) + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_3238e70d569e
Ar(m) + O2* -> Ar(m) + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_0664702fc8b3
Ar(m) + O2* -> O2* + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8ebdaeab3d31
Ar(r) + Ar -> 2 Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_cc4cbdb651ed
Ar(r) + O -> Ar + O,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_2d3b511c5644
Ar(r) + O2 -> Ar + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fa54f8a8e792
Ar(r) + O2(v) -> O2(v) + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f93bf35caf1e
Ar(r) + O2* -> Ar(r) + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_4ad9cf30bc80
Ar(r) + O2* -> O2* + Ar,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dc471d9f9a8c
O2* + Ar -> Ar + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_470de7c7998a
O2* + O -> O + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_953abc47a76a
O2* + O2 -> 2 O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_3d41fa9089a3
O2* + O2(v) -> O2(v) + O2,Excited-state quenching,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_c561bbf02430
Ar(m) + O2(v) -> Ar(m) + O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_6ca88b0a54fa
Ar(r) + O2(v) -> Ar(r) + O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_813c0cfa7ce0
O2(v) + Ar -> Ar + O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_d24c19b6e6eb
O2(v) + O -> O + O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f5c7d2b1a05f
O2(v) + O2 -> 2 O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5fcbcf3fc37b
O2* + O2(v) -> O2* + O2,Vibrational-translational (V-T) relaxation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_51dcf606e214
